Activation Function,Batch Norm,Accuracy,Time
Mish,True,0.6169999837875366,339.0267333984375
Mish,False,0.546625018119812,327.46794843673706
LReLU,True,0.6133750081062317,331.3567998409271
GELU,False,0.518625020980835,329.61532378196716
Mish,False,0.581125020980835,324.88946413993835
ELU,False,0.5419999957084656,321.83814430236816
LReLU,True,0.6161249876022339,329.77996277809143
Mish,True,0.6058750152587891,328.0550889968872
GELU,False,0.10000000149011612,318.4480187892914
LReLU,False,0.5296249985694885,318.57488775253296
GELU,True,0.6112499833106995,326.01580357551575
LReLU,False,0.5088750123977661,319.0181305408478
GELU,True,0.6166250109672546,327.1641209125519
GELU,False,0.3701249957084656,318.0411443710327
ReLU,True,0.6177499890327454,324.46898889541626
ReLU,False,0.5398749709129333,318.8570513725281
GELU,True,0.5998749732971191,324.06741976737976
Mish,True,0.6077499985694885,321.9800856113434
Mish,True,0.5991250276565552,334.2467658519745
LReLU,True,0.612375020980835,327.33221435546875
ELU,False,0.531125009059906,319.96549129486084
ReLU,False,0.5180000066757202,315.2895758152008
ELU,True,0.5918750166893005,326.38985872268677
GELU,False,0.10000000149011612,317.7361409664154
Mish,False,0.5537499785423279,316.3160791397095
ReLU,False,0.5251250267028809,318.7050015926361
ELU,False,0.5407500267028809,318.8721604347229
GELU,False,0.48374998569488525,318.1947350502014
LReLU,False,0.5224999785423279,313.6780569553375
ELU,False,0.5361250042915344,315.761638879776
GELU,False,0.10000000149011612,316.65838527679443
LReLU,False,0.5277500152587891,316.89642691612244
LReLU,False,0.5425000190734863,317.4232015609741
ELU,True,0.581250011920929,321.7408094406128
Mish,False,0.5596250295639038,315.4558172225952
LReLU,False,0.5364999771118164,315.9529058933258
LReLU,False,0.5296249985694885,317.91093921661377
ReLU,False,0.5133749842643738,320.1327335834503
ELU,False,0.5260000228881836,325.52209973335266
Mish,False,0.5519999861717224,317.2886550426483
GELU,True,0.6012499928474426,331.24175453186035
Mish,False,0.5494999885559082,317.10451912879944
ReLU,True,0.6242499947547913,324.4236752986908
ELU,True,0.5922499895095825,322.22193717956543
ReLU,True,0.6017500162124634,323.9611747264862
ReLU,False,0.5271250009536743,316.4988751411438
GELU,True,0.6011250019073486,323.394686460495
ReLU,True,0.6113749742507935,321.3801369667053
ELU,False,0.5323749780654907,319.3161199092865
LReLU,True,0.6035000085830688,320.2175064086914
ELU,True,0.5866249799728394,326.9806842803955
ELU,True,0.5847499966621399,328.6592814922333
ReLU,False,0.5410000085830688,318.1619336605072
GELU,True,0.6107500195503235,321.31850957870483
ELU,True,0.5891249775886536,326.5451340675354
GELU,True,0.6223750114440918,333.46822690963745
LReLU,True,0.6272500157356262,337.0151343345642
Mish,False,0.5378749966621399,328.1830892562866
LReLU,True,0.6116250157356262,337.3948802947998
ELU,True,0.5807499885559082,326.34999895095825
ELU,False,0.5353749990463257,323.59358048439026
GELU,True,0.606249988079071,335.33580255508423
ReLU,True,0.6118749976158142,331.5726709365845
LReLU,False,0.5107499957084656,334.25979495048523
Mish,True,0.6129999756813049,336.22021079063416
Mish,True,0.6087499856948853,332.15430998802185
LReLU,True,0.6233749985694885,345.96814227104187
ReLU,False,0.5203750133514404,334.2510688304901
GELU,False,0.10000000149011612,333.99118161201477
ReLU,True,0.606374979019165,339.176780462265
LReLU,False,0.5212500095367432,329.80070066452026
GELU,True,0.6172500252723694,333.73691487312317
GELU,False,0.10000000149011612,326.6623914241791
Mish,True,0.6159999966621399,347.3222334384918
ReLU,True,0.6152499914169312,337.5089039802551
LReLU,True,0.6257500052452087,330.2377302646637
ELU,False,0.5339999794960022,333.15391421318054
ReLU,True,0.612375020980835,334.3444445133209
ReLU,False,0.5381249785423279,332.2084858417511
Mish,True,0.6087499856948853,335.82960271835327
GELU,False,0.4598749876022339,327.5200283527374
Mish,True,0.6039999723434448,342.61797642707825
Mish,True,0.6116250157356262,335.05599069595337
Mish,False,0.5428749918937683,324.84171080589294
Mish,False,0.5396249890327454,331.13699674606323
LReLU,True,0.6193749904632568,339.5830795764923
ReLU,True,0.6207500100135803,336.1770374774933
ELU,False,0.5214999914169312,327.93199586868286
ELU,True,0.5841249823570251,328.8123207092285
LReLU,False,0.5372499823570251,324.93401193618774
ReLU,True,0.624750018119812,338.14547896385193
GELU,True,0.6006249785423279,344.8449845314026
ReLU,False,0.5332499742507935,327.9275493621826
ReLU,False,0.5198749899864197,324.6700551509857
Mish,False,0.5607500076293945,329.2809338569641
GELU,False,0.10000000149011612,333.6880724430084
ELU,False,0.5318750143051147,331.4109947681427
ELU,True,0.5755000114440918,340.8305170536041
LReLU,True,0.609624981880188,335.14540100097656
ELU,True,0.5843750238418579,334.5290503501892
